,UK_URL,US_Match_URL,Similarity
27,https://www.samsung.com/uk/tvs/all-tvs/?qled-tv,https://www.samsung.com/us/televisions-home-theater/tvs/55-inch-tvs/,36
29,https://www.samsung.com/uk/tvs/all-tvs/?qled-tv,https://www.samsung.com/us/smartphones/galaxy-z/,34
30,https://www.samsung.com/uk/tvs/all-tvs/?qled-tv,https://www.samsung.com/us/smartphones/galaxy-z-flip3-5g/,32
26,https://www.samsung.com/uk/tvs/all-tvs/?qled-tv,https://www.samsung.com/us/televisions-home-theater/tvs/samsung-neo-qled-8k/65-qn800a-neo-qled-8k-smart-tv-2021-qn65qn800afxza/,25
28,https://www.samsung.com/uk/tvs/all-tvs/?qled-tv,https://www.samsung.com/us/galaxybooks/,25
32,https://www.samsung.com/uk/tvs/55-inch-tvs/,https://www.samsung.com/us/televisions-home-theater/tvs/55-inch-tvs/,56
35,https://www.samsung.com/uk/tvs/55-inch-tvs/,https://www.samsung.com/us/smartphones/galaxy-z-flip3-5g/,30
34,https://www.samsung.com/uk/tvs/55-inch-tvs/,https://www.samsung.com/us/smartphones/galaxy-z/,27
31,https://www.samsung.com/uk/tvs/55-inch-tvs/,https://www.samsung.com/us/televisions-home-theater/tvs/samsung-neo-qled-8k/65-qn800a-neo-qled-8k-smart-tv-2021-qn65qn800afxza/,19
33,https://www.samsung.com/uk/tvs/55-inch-tvs/,https://www.samsung.com/us/galaxybooks/,14
8,https://www.samsung.com/uk/tablets/galaxy-tab-a/,https://www.samsung.com/us/tablets/galaxy-tab-a/,100
9,https://www.samsung.com/uk/tablets/galaxy-tab-a/,https://www.samsung.com/us/smartphones/galaxy-a-series/,57
13,https://www.samsung.com/uk/tablets/galaxy-tab-a/,https://www.samsung.com/us/smartphones/galaxy-z/,57
14,https://www.samsung.com/uk/tablets/galaxy-tab-a/,https://www.samsung.com/us/smartphones/galaxy-z-flip3-5g/,51
12,https://www.samsung.com/uk/tablets/galaxy-tab-a/,https://www.samsung.com/us/galaxybooks/,48
54,https://www.samsung.com/uk/smartphones/galaxy-z/,https://www.samsung.com/us/smartphones/galaxy-z/,100
53,https://www.samsung.com/uk/smartphones/galaxy-z/,https://www.samsung.com/us/galaxybooks/,42
52,https://www.samsung.com/uk/smartphones/galaxy-z/,https://www.samsung.com/us/televisions-home-theater/tvs/55-inch-tvs/,29
51,https://www.samsung.com/uk/smartphones/galaxy-z/,https://www.samsung.com/us/televisions-home-theater/tvs/samsung-neo-qled-8k/65-qn800a-neo-qled-8k-smart-tv-2021-qn65qn800afxza/,23
58,https://www.samsung.com/uk/smartphones/galaxy-z-flip3-5g/,https://www.samsung.com/us/smartphones/galaxy-z-flip3-5g/,100
57,https://www.samsung.com/uk/smartphones/galaxy-z-flip3-5g/,https://www.samsung.com/us/galaxybooks/,33
56,https://www.samsung.com/uk/smartphones/galaxy-z-flip3-5g/,https://www.samsung.com/us/televisions-home-theater/tvs/55-inch-tvs/,31
55,https://www.samsung.com/uk/smartphones/galaxy-z-flip3-5g/,https://www.samsung.com/us/televisions-home-theater/tvs/samsung-neo-qled-8k/65-qn800a-neo-qled-8k-smart-tv-2021-qn65qn800afxza/,25
44,https://www.samsung.com/uk/smartphones/galaxy-m/,https://www.samsung.com/us/smartphones/galaxy-z/,95
45,https://www.samsung.com/uk/smartphones/galaxy-m/,https://www.samsung.com/us/smartphones/galaxy-z-flip3-5g/,78
43,https://www.samsung.com/uk/smartphones/galaxy-m/,https://www.samsung.com/us/galaxybooks/,42
