,UK_URL,US_Match_URL,Similarity
42,https://www.samsung.com/uk/smartphones/galaxy-m/,https://www.samsung.com/us/televisions-home-theater/tvs/55-inch-tvs/,29
41,https://www.samsung.com/uk/smartphones/galaxy-m/,https://www.samsung.com/us/televisions-home-theater/tvs/samsung-neo-qled-8k/65-qn800a-neo-qled-8k-smart-tv-2021-qn65qn800afxza/,21
21,https://www.samsung.com/uk/smartphones/galaxy-a-series/,https://www.samsung.com/us/smartphones/galaxy-a-series/,100
24,https://www.samsung.com/uk/smartphones/galaxy-a-series/,https://www.samsung.com/us/smartphones/galaxy-z/,82
25,https://www.samsung.com/uk/smartphones/galaxy-a-series/,https://www.samsung.com/us/smartphones/galaxy-z-flip3-5g/,76
23,https://www.samsung.com/uk/smartphones/galaxy-a-series/,https://www.samsung.com/us/galaxybooks/,40
22,https://www.samsung.com/uk/smartphones/galaxy-a-series/,https://www.samsung.com/us/televisions-home-theater/tvs/55-inch-tvs/,32
0,https://www.samsung.com/uk/smartphones/,https://www.samsung.com/us/smartphones/,100
6,https://www.samsung.com/uk/smartphones/,https://www.samsung.com/us/smartphones/galaxy-z/,73
2,https://www.samsung.com/uk/smartphones/,https://www.samsung.com/us/smartphones/galaxy-a-series/,60
7,https://www.samsung.com/uk/smartphones/,https://www.samsung.com/us/smartphones/galaxy-z-flip3-5g/,57
5,https://www.samsung.com/uk/smartphones/,https://www.samsung.com/us/galaxybooks/,33
38,https://www.samsung.com/uk/pc/all-pc/?galaxy-book-pro,https://www.samsung.com/us/galaxybooks/,53
39,https://www.samsung.com/uk/pc/all-pc/?galaxy-book-pro,https://www.samsung.com/us/smartphones/galaxy-z/,43
40,https://www.samsung.com/uk/pc/all-pc/?galaxy-book-pro,https://www.samsung.com/us/smartphones/galaxy-z-flip3-5g/,43
36,https://www.samsung.com/uk/pc/all-pc/?galaxy-book-pro,https://www.samsung.com/us/televisions-home-theater/tvs/samsung-neo-qled-8k/65-qn800a-neo-qled-8k-smart-tv-2021-qn65qn800afxza/,17
37,https://www.samsung.com/uk/pc/all-pc/?galaxy-book-pro,https://www.samsung.com/us/televisions-home-theater/tvs/55-inch-tvs/,15
48,https://www.samsung.com/uk/galaxy-book/,https://www.samsung.com/us/galaxybooks/,92
49,https://www.samsung.com/uk/galaxy-book/,https://www.samsung.com/us/smartphones/galaxy-z/,48
50,https://www.samsung.com/uk/galaxy-book/,https://www.samsung.com/us/smartphones/galaxy-z-flip3-5g/,38
47,https://www.samsung.com/uk/galaxy-book/,https://www.samsung.com/us/televisions-home-theater/tvs/55-inch-tvs/,15
46,https://www.samsung.com/uk/galaxy-book/,https://www.samsung.com/us/televisions-home-theater/tvs/samsung-neo-qled-8k/65-qn800a-neo-qled-8k-smart-tv-2021-qn65qn800afxza/,12
15,https://www.samsung.com/uk/audio-sound/galaxy-buds/,https://www.samsung.com/us/audio-sound/galaxy-buds/,100
19,https://www.samsung.com/uk/audio-sound/galaxy-buds/,https://www.samsung.com/us/smartphones/galaxy-z/,53
18,https://www.samsung.com/uk/audio-sound/galaxy-buds/,https://www.samsung.com/us/galaxybooks/,50
20,https://www.samsung.com/uk/audio-sound/galaxy-buds/,https://www.samsung.com/us/smartphones/galaxy-z-flip3-5g/,44
17,https://www.samsung.com/uk/audio-sound/galaxy-buds/,https://www.samsung.com/us/televisions-home-theater/tvs/55-inch-tvs/,25
